City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
57,ribeira grande,38.5167,-28.7,20.43,56,40,6.17,PT,1728658595
58,talcahuano,-36.7167,-73.1167,12.82,94,100,4.12,CL,1728658596
59,port lincoln,-34.7333,135.8667,13.17,78,100,6.93,AU,1728658598
60,west island,-12.1568,96.8225,26.99,83,20,7.2,CC,1728658599
61,margaret river,-33.95,115.0667,15.12,86,100,5.36,AU,1728658600
62,kencong,-8.2833,113.3667,26.08,81,100,1.24,ID,1728658602
63,yuzhno-kurilsk,44.0306,145.8556,10.9,70,97,8.03,RU,1728658603
64,el galpon,-25.3807,-64.6526,26.02,41,0,2.34,AR,1728658604
65,opuwo,-18.0607,13.84,36.3,7,0,5.6,NA,1728658018
66,hithadhoo,-0.6,73.0833,27.79,78,38,6.16,MV,1728658351
67,ewo,-0.8725,14.8206,29.31,64,87,0.23,CG,1728658608
68,udachny,66.4167,112.4,-9.78,96,100,2.42,RU,1728658610
69,bilibino,68.0546,166.4372,-17.81,97,89,1.49,RU,1728658611
70,rockland,41.1668,-74.0496,14.95,64,2,4.38,US,1728658612
71,jalalaqsi,3.3766,45.5996,29.93,49,83,10.19,SO,1728658613
72,coahuayana de hidalgo,18.7,-103.6583,26.95,82,4,0.82,MX,1728658614
73,punta arenas,-53.15,-70.9167,7.06,65,75,8.75,CL,1728658615
74,kangding,30.0513,101.9603,9.49,98,95,1.8,CN,1728658616
75,warren,39.4334,-84.1666,16.22,66,0,1.54,US,1728658553
76,aasiaat,68.7098,-52.8699,-3.22,63,10,5.49,GL,1728658619
77,lihue,21.9789,-159.3672,23.77,94,75,2.06,US,1728658620
78,kalmunai,7.4167,81.8167,26.43,82,100,2.0,LK,1728658621
79,carnarvon,-24.8667,113.6333,21.19,85,0,8.54,AU,1728658622
80,sarikei,2.1167,111.5167,23.84,98,96,0.22,MY,1728658623
81,tamanrasset,22.785,5.5228,30.95,18,40,11.32,DZ,1728658624
82,port blair,11.6667,92.75,27.02,89,40,1.03,IN,1728658625
83,puerto natales,-51.7236,-72.4875,9.25,57,75,5.66,CL,1728658626
84,hassi messaoud,31.6804,6.0729,35.92,20,0,2.06,DZ,1728658628
85,bredasdorp,-34.5322,20.0403,21.22,53,50,4.14,ZA,1728658629
86,saint-francois,46.4154,3.9054,16.69,57,0,1.54,FR,1728658630
87,namibe,-15.1961,12.1522,22.98,76,18,5.52,AO,1728658631
88,dunay,42.8803,132.3375,13.76,92,14,2.87,RU,1728658633
89,tiksi,71.6872,128.8694,-8.72,93,100,2.66,RU,1728658634
90,iqaluit,63.7506,-68.5145,0.85,93,100,2.57,CA,1728658635
91,ginir,7.1333,40.7,16.1,82,70,3.09,ET,1728658554
92,port mathurin,-19.6833,63.4167,22.25,73,84,11.45,MU,1728658638
93,blackmans bay,-43.0167,147.3167,8.18,67,46,0.89,AU,1728658639
94,hasaki,35.7333,140.8333,20.68,69,100,3.82,JP,1728658640
95,palangkaraya,-2.2,113.8333,24.89,96,100,1.05,ID,1728658641
96,san luis de la loma,17.2706,-100.8939,26.52,79,39,0.77,MX,1728658642
97,ancud,-41.8697,-73.8203,8.36,84,100,5.97,CL,1728658560
98,rio grande,-32.035,-52.0986,19.51,92,100,2.55,BR,1728658644
99,olonkinbyen,70.9221,-8.7187,-2.95,90,100,17.62,SJ,1728658645
100,dolores,-36.3132,-57.6792,25.23,45,0,4.65,AR,1728658500
101,mata-utu,-13.2816,-176.1745,27.39,81,36,6.92,WF,1728658648
102,vorgashor,67.5833,63.95,-8.67,96,39,2.85,RU,1728658649
103,la'ie,21.6477,-157.9253,23.66,90,99,0.45,US,1728658650
104,kapuskasing,49.4169,-82.4331,11.05,93,100,2.57,CA,1728658651
105,whitehorse,60.7161,-135.0538,0.43,73,20,5.66,CA,1728658652
106,la manga del mar menor,37.6413,-0.7165,24.04,64,0,3.09,ES,1728658450
107,aykhal,66.0,111.5,-11.22,97,99,3.54,RU,1728658654
108,san patricio,28.017,-97.5169,22.97,50,0,2.89,US,1728658655
109,mount isa,-20.7333,139.5,17.87,42,0,1.03,AU,1728658656
110,puerto ayora,-0.7393,-90.3518,20.86,90,89,4.02,EC,1728658658
111,ulsteinvik,62.3432,5.8487,5.97,86,100,3.99,NO,1728658659
112,saynshand,44.8824,110.1163,10.17,47,0,1.84,MN,1728658660
113,gero,-8.7039,121.1881,22.67,93,100,1.97,ID,1728658661
114,arraial do cabo,-22.9661,-42.0278,22.92,88,100,10.8,BR,1728658662
115,portland,45.5234,-122.6762,13.26,83,40,4.02,US,1728658628
116,rongelap,11.1635,166.8941,27.61,78,99,6.96,MH,1728658664
117,cabo san lucas,22.8909,-109.9124,29.31,82,1,1.45,MX,1728658665
118,praya,14.9215,-23.5087,28.3,83,100,5.14,CV,1728658666
119,kavaratti,10.5669,72.642,25.77,90,100,7.55,IN,1728658668
120,badger,64.8,-147.5333,-2.07,92,100,0.0,US,1728658670
121,tolanaro,-25.0319,46.9987,25.04,73,40,10.8,MG,1728658671
122,illizi,26.4833,8.4667,38.78,13,9,4.08,DZ,1728658672
123,howrah,22.5892,88.3103,30.0,79,40,3.09,IN,1728658673
124,buzdyak,54.5833,54.55,0.21,58,39,7.02,RU,1728658674
125,gwadar,25.1216,62.3254,29.02,70,0,6.0,PK,1728658675
126,palikir - national government center,6.9248,158.1611,24.41,100,75,1.54,FM,1728658677
127,yanykurgan,43.915,67.2481,16.38,51,66,6.29,KZ,1728658678
128,luza,60.6308,47.2512,2.08,49,100,4.84,RU,1728658679
129,palmer,42.1584,-72.3287,14.73,53,2,0.45,US,1728658680
130,taro,-8.3862,115.28,19.98,100,100,0.06,ID,1728658681
131,nanao,37.05,136.9667,15.82,92,0,1.19,JP,1728658682
132,sant'angelo di piove di sacco,45.3481,12.0025,22.28,54,13,1.34,IT,1728658683
133,castillos,-34.1667,-53.8333,20.53,77,100,3.72,UY,1728658684
134,buala,-8.145,159.5921,26.11,83,100,1.26,SB,1728658686
135,ushuaia,-54.8,-68.3,6.81,65,40,3.09,AR,1728658687
136,kimbe,-5.5502,150.1429,24.49,93,89,2.0,PG,1728658688
137,machali,-34.1833,-70.6667,11.6,100,100,2.57,CL,1728658562
138,saipan,15.1355,145.701,27.39,89,20,2.57,MP,1728658690
139,dudinka,69.4058,86.1778,-8.65,94,97,1.29,RU,1728658640
140,karor,31.2274,70.9492,29.4,16,0,2.64,PK,1728658692
141,damghan,36.1683,54.348,24.59,13,6,2.47,IR,1728658695
142,bogale,16.2833,95.4,26.36,88,13,1.73,MM,1728658696
143,seosan,36.7817,126.4522,16.36,80,0,0.65,KR,1728658697
144,thompson,55.7435,-97.8558,0.09,100,20,2.06,CA,1728658460
145,nova sintra,14.8667,-24.7167,28.09,77,97,3.85,CV,1728658699
